EmpID,OrderNum,OrderDate,OrderType,Quantity,Price,Discount,OrderTotal,OrderDate_null
900015476.0,1100948,2017-09-03,Retail,1.0,44.95,0.0,44.95,0
900015476.0,1101096,2017-09-24,Wholesale,10.0,4.99,1.0,48.9,0
900015476.0,1101138,2017-10-01,Wholesale,4.0,250.0,50.0,950.0,0
900015476.0,1101158,2017-10-03,Retail,1.0,250.0,0.0,250.0,0
900015476.0,1101181,2017-10-09,Retail,1.0,13.99,0.0,13.99,0
900015476.0,1101354,2017-10-31,Wholesale,8.0,49.0,9.8,382.2,0
900015476.0,1101475,2017-11-18,Retail,1.0,599.0,0.0,599.0,0
900015476.0,1101495,2017-11-22,Wholesale,13.0,899.0,179.8,11507.2,0
900015476.0,1101685,2017-12-18,Retail,1.0,119.0,0.0,119.0,0
900015476.0,1101743,2017-12-27,Wholesale,6.0,179.0,35.8,1038.2,0
900015476.0,1101825,2018-01-08,Wholesale,4.0,189.0,37.8,718.2,0
900015476.0,1101839,2018-01-09,Wholesale,8.0,29.99,6.0,233.92,0
900015476.0,1101902,2018-01-19,Wholesale,5.0,7.99,1.6,38.35,0
900015476.0,1101926,2018-01-22,Wholesale,6.0,29.99,6.0,173.94,0
900015476.0,1101945,2018-01-25,Retail,1.0,19.99,0.0,19.99,0
900015476.0,1102052,2018-02-12,Wholesale,6.0,4.99,1.0,28.94,0
900015476.0,1102085,2018-02-18,Wholesale,9.0,24.99,5.0,219.91,0
900015476.0,1102227,2018-03-09,Wholesale,15.0,13.99,2.8,207.05,0
900015476.0,1102305,2018-03-21,Wholesale,9.0,37.99,7.6,334.31,0
900015476.0,1102306,2018-03-21,Wholesale,6.0,16.99,3.4,98.54,0
900015476.0,1102439,2018-04-11,Wholesale,9.0,8.99,1.8,79.11,0
900015476.0,1102469,2018-04-15,Retail,2.0,699.0,0.0,1398.0,0
900015476.0,1102578,2018-05-02,Wholesale,5.0,450.0,90.0,2160.0,0
900015476.0,1102680,2018-05-15,Retail,1.0,8.99,0.0,8.99,0
900015476.0,1102697,2018-05-18,Retail,1.0,12.0,0.0,12.0,0
900015476.0,1102745,2018-05-25,Wholesale,9.0,12.0,2.4,105.6,0
900015476.0,1103009,2018-07-01,Wholesale,8.0,189.0,37.8,1474.2,0
900015476.0,1103056,2018-07-07,Retail,1.0,49.95,0.0,49.95,0
900015476.0,1103206,2018-07-26,Retail,1.0,189.0,0.0,189.0,0
900015476.0,1103219,2018-07-27,Wholesale,53.0,69.0,13.8,3643.2,0
900015476.0,1103275,2018-08-03,Retail,1.0,15.5,0.0,15.5,0
900015476.0,1103291,2018-08-05,Retail,1.0,883.0,0.0,883.0,0
900015476.0,1103289,2018-08-05,Retail,1.0,16.99,0.0,16.99,0
